dataset,column,dtype,n_missing,missing_pct,n_unique,is_constant,is_near_constant,zero_count,zero_pct,q01,q05,q50,q95,q99,iqr,iqr_outliers
train_raw,event_id,int64,0,0.0,221,False,False,0,0.0,11964885.4,16870867.0,52440944.0,93408578.0,97717084.0,42479482.0,0
train_raw,num_perimeters_0_5h,int64,0,0.0,12,False,False,0,0.0,1.0,1.0,1.0,7.0,12.0,1.0,29
train_raw,dt_first_last_0_5h,float64,0,0.0,62,False,False,160,72.39819004524887,0.0,0.0,0.0,4.797640447777778,4.9718440805,1.3561069686111111,38
train_raw,low_temporal_resolution_0_5h,int64,0,0.0,2,False,False,60,27.149321266968325,0.0,0.0,1.0,1.0,1.0,1.0,0
train_raw,area_first_ha,float64,0,0.0,221,False,False,0,0.0,0.29099713157820545,2.0114642389542188,110.149250240267,2300.0090479739565,7913.480347417596,459.8735036281025,32
train_raw,area_growth_abs_0_5h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,35.321252624087805,562.2634949553903,0.0,0
train_raw,area_growth_rel_0_5h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,0.4833503494975879,3.290252208309565,0.0,0
train_raw,area_growth_rate_ha_per_h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,10.784485895806473,159.63310837502914,0.0,0
train_raw,log1p_area_first,float64,0,0.0,221,False,False,0,0.0,0.2551875139703799,1.1024264186027142,4.710873894910774,7.741103022219706,8.97537522698051,2.9199125205699534,0
train_raw,log1p_growth,float64,0,0.0,25,False,False,197,89.14027149321268,0.0,0.0,0.0,3.5924030416870494,6.333470949990766,0.0,0
train_raw,log_area_ratio_0_5h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,0.3943032788203731,1.4562141105533035,0.0,0
train_raw,relative_growth_0_5h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,0.4833503494975879,3.290252208309565,0.0,0
train_raw,radial_growth_m,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,97.16235777006516,752.5804850988652,0.0,0
train_raw,radial_growth_rate_m_per_h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,26.47476714969348,190.43263054237593,0.0,0
train_raw,centroid_displacement_m,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,169.31565252432875,1091.6559290375762,0.0,0
train_raw,centroid_speed_m_per_h,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,52.96650159451572,253.43825421134954,0.0,0
train_raw,spread_bearing_deg,float64,0,0.0,26,False,False,196,88.68778280542986,0.0,0.0,0.0,99.55594694061875,264.14204820947276,0.0,0
train_raw,spread_bearing_sin,float64,0,0.0,26,False,False,196,88.68778280542986,-0.9147117740786875,0.0,0.0,0.8660117348724028,0.9934747935722187,0.0,0
train_raw,spread_bearing_cos,float64,0,0.0,26,False,False,0,0.0,-0.6869378400017778,0.0253602093353745,1.0,1.0,1.0,0.0,0
train_raw,dist_min_ci_0_5h,float64,0,0.0,221,False,False,0,0.0,579.3110846940341,1187.206572903266,31758.58114396278,496409.0535344349,726894.4949115772,197263.64608111818,12
train_raw,dist_std_ci_0_5h,float64,0,0.0,20,False,False,202,91.4027149321267,0.0,0.0,0.0,14.243096726245584,166.70501578565828,0.0,0
train_raw,dist_change_ci_0_5h,float64,0,0.0,19,False,False,203,91.8552036199095,-372.9697252485904,0.0,0.0,0.0,85.33471643107225,0.0,0
train_raw,dist_slope_ci_0_5h,float64,0,0.0,53,False,False,169,76.47058823529412,-74.05308305588632,-1.2856774597029576e-11,0.0,1.3985635361613625e-12,39.36542778714442,0.0,0
train_raw,closing_speed_m_per_h,float64,0,0.0,19,False,False,203,91.8552036199095,-29.543840738205095,0.0,0.0,0.0,80.2052786445615,0.0,0
train_raw,closing_speed_abs_m_per_h,float64,0,0.0,19,False,False,203,91.8552036199095,0.0,0.0,0.0,7.865392959896537,85.41755480595307,0.0,0
train_raw,projected_advance_m,float64,0,0.0,19,False,False,203,91.8552036199095,-85.33471643107204,0.0,0.0,0.0,372.96972524859405,0.0,0
train_raw,dist_accel_m_per_h2,float64,0,0.0,36,False,False,186,84.16289592760181,-39.890184382391105,-4.63883423290132e-13,0.0,2.886797445730118e-12,16.964687632310913,0.0,0
train_raw,dist_fit_r2_0_5h,float64,0,0.0,20,False,False,202,91.4027149321267,0.0,0.0,0.0,0.5429377895551766,0.8850570721679696,0.0,0
train_raw,alignment_cos,float64,0,0.0,62,False,False,160,72.39819004524887,-0.9982724182109269,-0.8428382606783883,0.0,0.8152123664865029,0.9755835482988374,0.0,0
train_raw,alignment_abs,float64,0,0.0,62,False,False,160,72.39819004524887,0.0,0.0,0.0,0.9641057307770816,0.9982724182109269,0.0716965973024154,51
train_raw,cross_track_component,float64,0,0.0,26,False,False,196,88.68778280542986,-108.94443500248488,-1.9372192309310183,0.0,0.0,174.35748814455383,0.0,0
train_raw,along_track_speed,float64,0,0.0,26,False,False,196,88.68778280542986,-33.18893211212467,-0.1060256858486571,0.0,0.0005441823867581,126.7034608049743,0.0,0
train_raw,event_start_hour,int64,0,0.0,22,False,False,16,7.239819004524888,0.0,0.0,19.0,23.0,23.0,12.0,0
train_raw,event_start_dayofweek,int64,0,0.0,7,False,False,31,14.027149321266968,0.0,0.0,3.0,6.0,6.0,4.0,0
train_raw,event_start_month,int64,0,0.0,9,False,False,0,0.0,3.0,3.0,7.0,9.0,9.0,2.0,2
train_raw,time_to_hit_hours,float64,0,0.0,221,False,False,0,0.0,0.07755268783333333,0.5237634105555555,43.10983019555556,66.57004031388888,66.90834850116667,51.696383425,0
train_raw,event,int64,0,0.0,2,False,False,152,68.77828054298642,0.0,0.0,0.0,1.0,1.0,1.0,0
train_raw,y_12,int64,0,0.0,2,False,False,172,77.82805429864254,0.0,0.0,0.0,1.0,1.0,0.0,0
train_raw,y_24,int64,0,0.0,2,False,False,158,71.49321266968326,0.0,0.0,0.0,1.0,1.0,1.0,0
train_raw,y_48,int64,0,0.0,2,False,False,155,70.13574660633483,0.0,0.0,0.0,1.0,1.0,1.0,0
train_raw,y_72,int64,0,0.0,2,False,False,152,68.77828054298642,0.0,0.0,0.0,1.0,1.0,1.0,0
