feature_1,feature_2,spearman_corr,abs_spearman_corr
v_stable,v_stable_squared,1.0,1.0
approach_rate,speed_alignment,1.0,1.0
dist,dist_squared,1.0,1.0
growth_efficiency,radial_to_area_ratio,0.9999889716018748,0.9999889716018748
approach_rate,closing_to_centroid_ratio,0.9999061116382036,0.9999061116382036
closing_to_centroid_ratio,speed_alignment,0.9999061116382036,0.9999061116382036
kinetic_energy,v_stable_squared,0.9943850219475051,0.9943850219475051
kinetic_energy,v_stable,0.9943850219475051,0.9943850219475051
persistence,v_stable_squared,0.9908709064010008,0.9908709064010008
persistence,v_stable,0.9908709064010008,0.9908709064010008
kinetic_energy,persistence,0.9893891752898243,0.9893891752898243
dist,dist_to_initial_ratio,0.9846679488898629,0.9846679488898629
dist_squared,dist_to_initial_ratio,0.9846679488898629,0.9846679488898629
alignment_squared,v_stable,0.9842461703843053,0.9842461703843053
alignment_squared,v_stable_squared,0.9842461703843053,0.9842461703843053
alignment_squared,kinetic_energy,0.9773895906118427,0.9773895906118427
alignment_squared,persistence,0.9694207856238907,0.9694207856238907
dist_squared,eta_kinetic,0.9531791283270818,0.9531791283270818
dist,eta_kinetic,0.9531791283270818,0.9531791283270818
